environment,seed,method,budget,future_tasks,ndcg,recall_at_10,total_search_calls,total_sample_calls,total_llm_calls,total_input_tokens,total_output_tokens,measured_onboarding_generation_seconds,amortized_setup_generation_seconds_per_future_task
fiqa_bm25,11,random,0,1,0.23978653908293807,0.30944444444444447,1.1333333333333333,0.0,0.13333333333333333,52.026666666666664,17.393333333333334,0.0,0.0
fiqa_bm25,11,random,0,10,0.23978653908293807,0.30944444444444447,11.333333333333332,0.0,1.3333333333333333,520.2666666666667,173.93333333333334,0.0,0.0
fiqa_bm25,11,random,0,50,0.23978653908293807,0.30944444444444447,56.666666666666664,0.0,6.666666666666667,2601.333333333333,869.6666666666667,0.0,0.0
fiqa_bm25,11,random,0,200,0.23978653908293807,0.30944444444444447,226.66666666666666,0.0,26.666666666666668,10405.333333333332,3478.666666666667,0.0,0.0
fiqa_bm25,11,random,4,1,0.23122021562609732,0.30111111111111116,9.133333333333333,16.0,48.13333333333333,20486.02666666667,5522.393333333333,74.45561634347541,74.45561634347541
fiqa_bm25,11,random,4,10,0.23122021562609732,0.30111111111111116,19.333333333333332,16.0,49.333333333333336,20954.266666666666,5678.933333333333,74.45561634347541,7.445561634347541
fiqa_bm25,11,random,4,50,0.23122021562609732,0.30111111111111116,64.66666666666666,16.0,54.666666666666664,23035.333333333332,6374.666666666667,74.45561634347541,1.4891123268695083
fiqa_bm25,11,random,4,200,0.23122021562609732,0.30111111111111116,234.66666666666666,16.0,74.66666666666667,30839.333333333332,8983.666666666668,74.45561634347541,0.3722780817173771
fiqa_bm25,11,random,8,1,0.23978653908293807,0.30944444444444447,17.133333333333333,16.0,48.13333333333333,20486.02666666667,5522.393333333333,74.45561634347541,74.45561634347541
fiqa_bm25,11,random,8,10,0.23978653908293807,0.30944444444444447,27.333333333333332,16.0,49.333333333333336,20954.266666666666,5678.933333333333,74.45561634347541,7.445561634347541
fiqa_bm25,11,random,8,50,0.23978653908293807,0.30944444444444447,72.66666666666666,16.0,54.666666666666664,23035.333333333332,6374.666666666667,74.45561634347541,1.4891123268695083
fiqa_bm25,11,random,8,200,0.23978653908293807,0.30944444444444447,242.66666666666666,16.0,74.66666666666667,30839.333333333332,8983.666666666668,74.45561634347541,0.3722780817173771
fiqa_bm25,11,random,16,1,0.23978653908293807,0.30944444444444447,36.13333333333333,16.0,48.13333333333333,20486.02666666667,5522.393333333333,74.45561634347541,74.45561634347541
fiqa_bm25,11,random,16,10,0.23978653908293807,0.30944444444444447,46.33333333333333,16.0,49.333333333333336,20954.266666666666,5678.933333333333,74.45561634347541,7.445561634347541
fiqa_bm25,11,random,16,50,0.23978653908293807,0.30944444444444447,91.66666666666666,16.0,54.666666666666664,23035.333333333332,6374.666666666667,74.45561634347541,1.4891123268695083
fiqa_bm25,11,random,16,200,0.23978653908293807,0.30944444444444447,261.66666666666663,16.0,74.66666666666667,30839.333333333332,8983.666666666668,74.45561634347541,0.3722780817173771
fiqa_bm25,11,random,32,1,0.23978653908293807,0.30944444444444447,74.13333333333334,16.0,48.13333333333333,20486.02666666667,5522.393333333333,74.45561634347541,74.45561634347541
fiqa_bm25,11,random,32,10,0.23978653908293807,0.30944444444444447,84.33333333333333,16.0,49.333333333333336,20954.266666666666,5678.933333333333,74.45561634347541,7.445561634347541
fiqa_bm25,11,random,32,50,0.23978653908293807,0.30944444444444447,129.66666666666666,16.0,54.666666666666664,23035.333333333332,6374.666666666667,74.45561634347541,1.4891123268695083
fiqa_bm25,11,random,32,200,0.23978653908293807,0.30944444444444447,299.66666666666663,16.0,74.66666666666667,30839.333333333332,8983.666666666668,74.45561634347541,0.3722780817173771
fiqa_bm25,11,fixed,0,1,0.23978653908293807,0.30944444444444447,1.1333333333333333,0.0,0.13333333333333333,52.026666666666664,17.393333333333334,0.0,0.0
fiqa_bm25,11,fixed,0,10,0.23978653908293807,0.30944444444444447,11.333333333333332,0.0,1.3333333333333333,520.2666666666667,173.93333333333334,0.0,0.0
fiqa_bm25,11,fixed,0,50,0.23978653908293807,0.30944444444444447,56.666666666666664,0.0,6.666666666666667,2601.333333333333,869.6666666666667,0.0,0.0
fiqa_bm25,11,fixed,0,200,0.23978653908293807,0.30944444444444447,226.66666666666666,0.0,26.666666666666668,10405.333333333332,3478.666666666667,0.0,0.0
fiqa_bm25,11,fixed,4,1,0.23978653908293807,0.30944444444444447,10.133333333333333,16.0,48.13333333333333,20486.02666666667,5522.393333333333,74.45561634347541,74.45561634347541
fiqa_bm25,11,fixed,4,10,0.23978653908293807,0.30944444444444447,20.333333333333332,16.0,49.333333333333336,20954.266666666666,5678.933333333333,74.45561634347541,7.445561634347541
fiqa_bm25,11,fixed,4,50,0.23978653908293807,0.30944444444444447,65.66666666666666,16.0,54.666666666666664,23035.333333333332,6374.666666666667,74.45561634347541,1.4891123268695083
