environment,corpus_name,backend,seed,method,budget,n_queries,selected_probe_pairs,ndcg,recall_at_10,delta_vs_zero_budget,delta_vs_original_frozen_router,delta_recall_vs_zero_budget,delta_recall_vs_original_frozen_router,changed_action_fraction_vs_zero_budget,changed_action_fraction_vs_original_frozen_router,posterior_world_0,posterior_world_1,measured_onboarding_generation_seconds,onboarding_search_calls,onboarding_sample_calls,onboarding_llm_calls,onboarding_input_tokens,onboarding_output_tokens,mean_task_search_calls,mean_task_sample_calls,mean_task_llm_calls,mean_task_input_tokens,mean_task_output_tokens
fiqa_bm25,fiqa,bm25,11,random,0,150,0,0.23978653908293807,0.30944444444444447,0.0,-0.012727618819961721,0.0,-0.013888888888888886,0.0,0.34,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,1.1333333333333333,0.0,0.13333333333333333,52.026666666666664,17.393333333333334
fiqa_bm25,fiqa,bm25,11,random,4,150,4,0.23122021562609732,0.30111111111111116,-0.008566323456840764,-0.02129394227680248,-0.008333333333333333,-0.02222222222222222,0.66,1.0,0.8327855812066548,0.16721441879334512,74.45561634347541,8.0,16.0,48.0,20434.0,5505.0,1.1333333333333333,0.0,0.13333333333333333,52.026666666666664,17.393333333333334
fiqa_bm25,fiqa,bm25,11,random,8,150,8,0.23978653908293807,0.30944444444444447,0.0,-0.012727618819961721,0.0,-0.013888888888888886,0.0,0.34,0.5817547808340222,0.4182452191659777,74.45561634347541,16.0,16.0,48.0,20434.0,5505.0,1.1333333333333333,0.0,0.13333333333333333,52.026666666666664,17.393333333333334
fiqa_bm25,fiqa,bm25,11,random,16,150,16,0.23978653908293807,0.30944444444444447,0.0,-0.012727618819961721,0.0,-0.013888888888888886,0.0,0.34,0.5765114147225701,0.42348858527742983,74.45561634347541,35.0,16.0,48.0,20434.0,5505.0,1.1333333333333333,0.0,0.13333333333333333,52.026666666666664,17.393333333333334
fiqa_bm25,fiqa,bm25,11,random,32,150,32,0.23978653908293807,0.30944444444444447,0.0,-0.012727618819961721,0.0,-0.013888888888888886,0.0,0.34,0.4514308117108048,0.5485691882891952,74.45561634347541,73.0,16.0,48.0,20434.0,5505.0,1.1333333333333333,0.0,0.13333333333333333,52.026666666666664,17.393333333333334
fiqa_bm25,fiqa,bm25,11,fixed,0,150,0,0.23978653908293807,0.30944444444444447,0.0,-0.012727618819961721,0.0,-0.013888888888888886,0.0,0.34,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,1.1333333333333333,0.0,0.13333333333333333,52.026666666666664,17.393333333333334
fiqa_bm25,fiqa,bm25,11,fixed,4,150,4,0.23978653908293807,0.30944444444444447,0.0,-0.012727618819961721,0.0,-0.013888888888888886,0.0,0.34,0.4202731806802057,0.5797268193197944,74.45561634347541,9.0,16.0,48.0,20434.0,5505.0,1.1333333333333333,0.0,0.13333333333333333,52.026666666666664,17.393333333333334
fiqa_bm25,fiqa,bm25,11,fixed,8,150,8,0.23978653908293807,0.30944444444444447,0.0,-0.012727618819961721,0.0,-0.013888888888888886,0.0,0.34,0.5293603092249688,0.47063969077503115,74.45561634347541,18.0,16.0,48.0,20434.0,5505.0,1.1333333333333333,0.0,0.13333333333333333,52.026666666666664,17.393333333333334
fiqa_bm25,fiqa,bm25,11,fixed,16,150,16,0.23122021562609732,0.30111111111111116,-0.008566323456840764,-0.02129394227680248,-0.008333333333333333,-0.02222222222222222,0.66,1.0,0.6833114012851881,0.31668859871481186,74.45561634347541,36.0,16.0,48.0,20434.0,5505.0,1.1333333333333333,0.0,0.13333333333333333,52.026666666666664,17.393333333333334
fiqa_bm25,fiqa,bm25,11,fixed,32,150,32,0.23128133693078542,0.305,-0.008505202152152674,-0.0212328209721144,-0.004444444444444445,-0.018333333333333333,0.7933333333333333,1.0,0.9792913898706165,0.0207086101293835,74.45561634347541,72.0,16.0,48.0,20434.0,5505.0,1.0,0.0,0.13333333333333333,52.026666666666664,17.393333333333334
