environment,family,seed,budget,method,ndcg,delta_vs_source_router,onboarding_operations,task_searches,workload,total_operations,mean_profile_apply_seconds
scifact_bm25,exact_title,11,256,profile_router,0.6209204636764345,0.0,192,1,10,202,3.551946332057317e-06
scifact_bm25,exact_title,11,256,profile_router,0.6209204636764345,0.0,192,1,50,242,3.551946332057317e-06
scifact_bm25,exact_title,11,256,profile_router,0.6209204636764345,0.0,192,1,200,392,3.551946332057317e-06
scifact_bm25,exact_title,11,256,probe_only,0.6061398767848605,-0.014780586891574037,192,1,1,193,0.0
scifact_bm25,exact_title,11,256,probe_only,0.6061398767848605,-0.014780586891574037,192,1,10,202,0.0
scifact_bm25,exact_title,11,256,probe_only,0.6061398767848605,-0.014780586891574037,192,1,50,242,0.0
scifact_bm25,exact_title,11,256,probe_only,0.6061398767848605,-0.014780586891574037,192,1,200,392,0.0
scifact_bm25,exact_title,11,256,rrf_extra,0.6104794412926243,-0.010441022383810148,0,2,1,2,0.0
scifact_bm25,exact_title,11,256,rrf_extra,0.6104794412926243,-0.010441022383810148,0,2,10,20,0.0
scifact_bm25,exact_title,11,256,rrf_extra,0.6104794412926243,-0.010441022383810148,0,2,50,100,0.0
scifact_bm25,exact_title,11,256,rrf_extra,0.6104794412926243,-0.010441022383810148,0,2,200,400,0.0
scifact_bm25,exact_title,23,0,source_router,0.6209204636764345,0.0,0,1,1,1,0.0
scifact_bm25,exact_title,23,0,source_router,0.6209204636764345,0.0,0,1,10,10,0.0
scifact_bm25,exact_title,23,0,source_router,0.6209204636764345,0.0,0,1,50,50,0.0
scifact_bm25,exact_title,23,0,source_router,0.6209204636764345,0.0,0,1,200,200,0.0
scifact_bm25,exact_title,23,0,profile_router,0.6209204636764345,0.0,0,1,1,1,5.013053305447102e-06
scifact_bm25,exact_title,23,0,profile_router,0.6209204636764345,0.0,0,1,10,10,5.013053305447102e-06
scifact_bm25,exact_title,23,0,profile_router,0.6209204636764345,0.0,0,1,50,50,5.013053305447102e-06
scifact_bm25,exact_title,23,0,profile_router,0.6209204636764345,0.0,0,1,200,200,5.013053305447102e-06
scifact_bm25,exact_title,23,0,probe_only,0.6061398767848605,-0.014780586891574037,0,1,1,1,0.0
scifact_bm25,exact_title,23,0,probe_only,0.6061398767848605,-0.014780586891574037,0,1,10,10,0.0
scifact_bm25,exact_title,23,0,probe_only,0.6061398767848605,-0.014780586891574037,0,1,50,50,0.0
scifact_bm25,exact_title,23,0,probe_only,0.6061398767848605,-0.014780586891574037,0,1,200,200,0.0
scifact_bm25,exact_title,23,0,rrf_extra,0.6104794412926243,-0.010441022383810148,0,2,1,2,0.0
scifact_bm25,exact_title,23,0,rrf_extra,0.6104794412926243,-0.010441022383810148,0,2,10,20,0.0
scifact_bm25,exact_title,23,0,rrf_extra,0.6104794412926243,-0.010441022383810148,0,2,50,100,0.0
scifact_bm25,exact_title,23,0,rrf_extra,0.6104794412926243,-0.010441022383810148,0,2,200,400,0.0
scifact_bm25,exact_title,23,16,source_router,0.6209204636764345,0.0,0,1,1,1,0.0
scifact_bm25,exact_title,23,16,source_router,0.6209204636764345,0.0,0,1,10,10,0.0
scifact_bm25,exact_title,23,16,source_router,0.6209204636764345,0.0,0,1,50,50,0.0
scifact_bm25,exact_title,23,16,source_router,0.6209204636764345,0.0,0,1,200,200,0.0
scifact_bm25,exact_title,23,16,profile_router,0.6209204636764345,0.0,15,1,1,16,3.3711067711313565e-06
scifact_bm25,exact_title,23,16,profile_router,0.6209204636764345,0.0,15,1,10,25,3.3711067711313565e-06
scifact_bm25,exact_title,23,16,profile_router,0.6209204636764345,0.0,15,1,50,65,3.3711067711313565e-06
scifact_bm25,exact_title,23,16,profile_router,0.6209204636764345,0.0,15,1,200,215,3.3711067711313565e-06
scifact_bm25,exact_title,23,16,probe_only,0.6061398767848605,-0.014780586891574037,15,1,1,16,0.0
scifact_bm25,exact_title,23,16,probe_only,0.6061398767848605,-0.014780586891574037,15,1,10,25,0.0
scifact_bm25,exact_title,23,16,probe_only,0.6061398767848605,-0.014780586891574037,15,1,50,65,0.0
scifact_bm25,exact_title,23,16,probe_only,0.6061398767848605,-0.014780586891574037,15,1,200,215,0.0
scifact_bm25,exact_title,23,16,rrf_extra,0.6104794412926243,-0.010441022383810148,0,2,1,2,0.0
scifact_bm25,exact_title,23,16,rrf_extra,0.6104794412926243,-0.010441022383810148,0,2,10,20,0.0
scifact_bm25,exact_title,23,16,rrf_extra,0.6104794412926243,-0.010441022383810148,0,2,50,100,0.0
scifact_bm25,exact_title,23,16,rrf_extra,0.6104794412926243,-0.010441022383810148,0,2,200,400,0.0
scifact_bm25,exact_title,23,64,source_router,0.6209204636764345,0.0,0,1,1,1,0.0
scifact_bm25,exact_title,23,64,source_router,0.6209204636764345,0.0,0,1,10,10,0.0
scifact_bm25,exact_title,23,64,source_router,0.6209204636764345,0.0,0,1,50,50,0.0
scifact_bm25,exact_title,23,64,source_router,0.6209204636764345,0.0,0,1,200,200,0.0
scifact_bm25,exact_title,23,64,profile_router,0.6209204636764345,0.0,63,1,1,64,3.470832792421182e-06
scifact_bm25,exact_title,23,64,profile_router,0.6209204636764345,0.0,63,1,10,73,3.470832792421182e-06
scifact_bm25,exact_title,23,64,profile_router,0.6209204636764345,0.0,63,1,50,113,3.470832792421182e-06
scifact_bm25,exact_title,23,64,profile_router,0.6209204636764345,0.0,63,1,200,263,3.470832792421182e-06
scifact_bm25,exact_title,23,64,probe_only,0.6061398767848605,-0.014780586891574037,63,1,1,64,0.0
scifact_bm25,exact_title,23,64,probe_only,0.6061398767848605,-0.014780586891574037,63,1,10,73,0.0
scifact_bm25,exact_title,23,64,probe_only,0.6061398767848605,-0.014780586891574037,63,1,50,113,0.0
scifact_bm25,exact_title,23,64,probe_only,0.6061398767848605,-0.014780586891574037,63,1,200,263,0.0
scifact_bm25,exact_title,23,64,rrf_extra,0.6104794412926243,-0.010441022383810148,0,2,1,2,0.0
scifact_bm25,exact_title,23,64,rrf_extra,0.6104794412926243,-0.010441022383810148,0,2,10,20,0.0
scifact_bm25,exact_title,23,64,rrf_extra,0.6104794412926243,-0.010441022383810148,0,2,50,100,0.0
scifact_bm25,exact_title,23,64,rrf_extra,0.6104794412926243,-0.010441022383810148,0,2,200,400,0.0
scifact_bm25,exact_title,23,256,source_router,0.6209204636764345,0.0,0,1,1,1,0.0
scifact_bm25,exact_title,23,256,source_router,0.6209204636764345,0.0,0,1,10,10,0.0
scifact_bm25,exact_title,23,256,source_router,0.6209204636764345,0.0,0,1,50,50,0.0
scifact_bm25,exact_title,23,256,source_router,0.6209204636764345,0.0,0,1,200,200,0.0
scifact_bm25,exact_title,23,256,profile_router,0.6209204636764345,0.0,192,1,1,193,3.430560075988372e-06
scifact_bm25,exact_title,23,256,profile_router,0.6209204636764345,0.0,192,1,10,202,3.430560075988372e-06
scifact_bm25,exact_title,23,256,profile_router,0.6209204636764345,0.0,192,1,50,242,3.430560075988372e-06
scifact_bm25,exact_title,23,256,profile_router,0.6209204636764345,0.0,192,1,200,392,3.430560075988372e-06
