environment,family,seed,budget,method,ndcg,delta_vs_source_router,onboarding_operations,task_searches,workload,total_operations,mean_profile_apply_seconds
scifact_bm25,exact_title,23,256,probe_only,0.6061398767848605,-0.014780586891574037,192,1,1,193,0.0
scifact_bm25,exact_title,23,256,probe_only,0.6061398767848605,-0.014780586891574037,192,1,10,202,0.0
scifact_bm25,exact_title,23,256,probe_only,0.6061398767848605,-0.014780586891574037,192,1,50,242,0.0
scifact_bm25,exact_title,23,256,probe_only,0.6061398767848605,-0.014780586891574037,192,1,200,392,0.0
scifact_bm25,exact_title,23,256,rrf_extra,0.6104794412926243,-0.010441022383810148,0,2,1,2,0.0
scifact_bm25,exact_title,23,256,rrf_extra,0.6104794412926243,-0.010441022383810148,0,2,10,20,0.0
scifact_bm25,exact_title,23,256,rrf_extra,0.6104794412926243,-0.010441022383810148,0,2,50,100,0.0
scifact_bm25,exact_title,23,256,rrf_extra,0.6104794412926243,-0.010441022383810148,0,2,200,400,0.0
scifact_bm25,exact_title,47,0,source_router,0.6209204636764345,0.0,0,1,1,1,0.0
scifact_bm25,exact_title,47,0,source_router,0.6209204636764345,0.0,0,1,10,10,0.0
scifact_bm25,exact_title,47,0,source_router,0.6209204636764345,0.0,0,1,50,50,0.0
scifact_bm25,exact_title,47,0,source_router,0.6209204636764345,0.0,0,1,200,200,0.0
scifact_bm25,exact_title,47,0,profile_router,0.6209204636764345,0.0,0,1,1,1,3.4974996621410054e-06
scifact_bm25,exact_title,47,0,profile_router,0.6209204636764345,0.0,0,1,10,10,3.4974996621410054e-06
scifact_bm25,exact_title,47,0,profile_router,0.6209204636764345,0.0,0,1,50,50,3.4974996621410054e-06
scifact_bm25,exact_title,47,0,profile_router,0.6209204636764345,0.0,0,1,200,200,3.4974996621410054e-06
scifact_bm25,exact_title,47,0,probe_only,0.6061398767848605,-0.014780586891574037,0,1,1,1,0.0
scifact_bm25,exact_title,47,0,probe_only,0.6061398767848605,-0.014780586891574037,0,1,10,10,0.0
scifact_bm25,exact_title,47,0,probe_only,0.6061398767848605,-0.014780586891574037,0,1,50,50,0.0
scifact_bm25,exact_title,47,0,probe_only,0.6061398767848605,-0.014780586891574037,0,1,200,200,0.0
scifact_bm25,exact_title,47,0,rrf_extra,0.6104794412926243,-0.010441022383810148,0,2,1,2,0.0
