environment,n_queries,original,source_fixed,source_router,target_fixed_oracle,query_oracle,oracle_gap_vs_router,oracle_gap_vs_target_fixed,source_fixed_action,target_fixed_oracle_action,rrf_extra
scifact_bm25,150,0.6061398767848604,0.6061398767848604,0.6209204636764345,0.6209204636764344,0.6487591226534674,0.027838658977032762,0.02783865897703297,original,keywords,0.6104794412926243
scifact_dense,150,0.6435738713255214,0.6435738713255214,0.6486654853531157,0.647419095538639,0.6883216686260003,0.03965618327288457,0.04090257308736134,original,keywords,0.6486950430086345
fiqa_bm25,150,0.2525141579028999,0.2525141579028999,0.25228729966197927,0.2525141579028999,0.2782652434731247,0.02597794381114545,0.02575108557022482,original,original,0.2542937306161939
fiqa_dense,150,0.3921141942640468,0.3921141942640468,0.38471835751882716,0.3921141942640468,0.42968869729084036,0.044970339772013264,0.03757450302679355,original,original,0.38130329104645855
