environment,alternative,n_queries,ndcg,recall_at_10,delta_vs_source_router,mean_task_search_calls,mean_task_llm_calls,mean_task_input_tokens,mean_task_output_tokens
fiqa_bm25,keywords,150,0.2542937306161939,0.32166666666666666,0.0017795727132941133,2.0,0.0,0.0,0.0
fiqa_dense,hyde,150,0.389095903662729,0.5035079365079366,0.056568172488646,2.0,1.0,393.93333333333334,124.31333333333333
nfcorpus_bm25,keywords,65,0.2484703451357258,0.25775147928994085,0.0033645456368342833,2.0,0.0,0.0,0.0
nfcorpus_dense,semantic,65,0.2377791146024582,0.2621715037099652,0.002993001357572826,2.0,1.0,386.12307692307695,120.95384615384616
scifact_bm25,keywords,150,0.6104794412926243,0.7411111111111112,0.004339564507763887,2.0,0.0,0.0,0.0
scifact_dense,keywords,150,0.6414038322603437,0.7966666666666666,-0.0021700390651778717,2.0,0.0,0.0,0.0
