environment,action,bucket,n_queries,mean_ndcg,mean_recall,mean_delta_vs_original,strict_win_fraction_vs_original
nfcorpus_bm25,hyde,0,57,0.20270261824068037,0.19967654178180494,-0.03512006602533901,0.12280701754385964
nfcorpus_bm25,hyde,1,4,0.3352151074291516,0.3,-0.04548279492672149,0.25
nfcorpus_bm25,hyde,2,4,0.21511405847198403,0.175,0.0018159697616458997,0.5
nfcorpus_bm25,decomposed,-1,65,0.2237023503846985,0.2147609655301963,-0.021403449114193045,0.1076923076923077
nfcorpus_bm25,decomposed,0,57,0.21743995230592436,0.20630636420110102,-0.020382731960095008,0.08771929824561403
nfcorpus_bm25,decomposed,1,4,0.3687717856987799,0.325,-0.011926116657093179,0.25
nfcorpus_bm25,decomposed,2,4,0.1678720876931482,0.225,-0.04542600101718994,0.25
nfcorpus_dense,original,-1,65,0.2347861132448854,0.25276979430825586,0.0,0.0
nfcorpus_dense,original,0,57,0.2229829895038278,0.22859713386029173,0.0,0.0
nfcorpus_dense,original,1,4,0.5753121455639988,0.675,0.0,0.0
nfcorpus_dense,original,2,4,0.062454594235841966,0.175,0.0,0.0
nfcorpus_dense,keywords,-1,65,0.227978641739614,0.25276979430825586,-0.006807471505271413,0.03076923076923077
nfcorpus_dense,keywords,0,57,0.21757059498737474,0.22859713386029173,-0.005412394516453065,0.017543859649122806
nfcorpus_dense,keywords,1,4,0.5432289686457161,0.675,-0.03208317691828272,0.0
nfcorpus_dense,keywords,2,4,0.0610429810529204,0.175,-0.0014116131829215624,0.25
nfcorpus_dense,semantic,-1,65,0.21807854558936424,0.23228139381985535,-0.016707567655521147,0.12307692307692308
nfcorpus_dense,semantic,0,57,0.19550484536722654,0.20523316839106312,-0.02747814413660129,0.08771929824561403
nfcorpus_dense,semantic,1,4,0.6524623437894672,0.675,0.07715019822546848,0.25
nfcorpus_dense,semantic,2,4,0.10536997555472327,0.175,0.042915381318881306,0.5
nfcorpus_dense,hyde,-1,65,0.23130365559441898,0.26883817037663194,-0.003482457650466411,0.18461538461538463
nfcorpus_dense,hyde,0,57,0.22527370227195417,0.2486751065698434,0.0022907127681263263,0.17543859649122806
nfcorpus_dense,hyde,1,4,0.42931765066853406,0.65,-0.1459944948954647,0.0
nfcorpus_dense,hyde,2,4,0.11921649536542736,0.175,0.056761901129585395,0.5
nfcorpus_dense,decomposed,-1,65,0.21233937104887915,0.23535831689677844,-0.022446742196006262,0.1076923076923077
nfcorpus_dense,decomposed,0,57,0.20670010828447952,0.21926825611036138,-0.016282881219348323,0.08771929824561403
nfcorpus_dense,decomposed,1,4,0.4250798133119161,0.525,-0.15023233225208274,0.0
nfcorpus_dense,decomposed,2,4,0.07995842317853662,0.175,0.01750382894269465,0.5
scifact_bm25,original,-1,150,0.6061398767848605,0.7344444444444445,0.0,0.0
scifact_bm25,original,0,14,0.7656005312012975,0.8214285714285714,0.0,0.0
scifact_bm25,original,1,21,0.5311737508503471,0.6190476190476191,0.0,0.0
scifact_bm25,original,2,36,0.5935295317242593,0.7222222222222222,0.0,0.0
scifact_bm25,original,3,79,0.6035552173541809,0.7552742616033755,0.0,0.0
scifact_bm25,keywords,-1,150,0.6209204636764345,0.7411111111111112,0.014780586891574037,0.06
scifact_bm25,keywords,0,14,0.7656005312012975,0.8214285714285714,0.0,0.0
scifact_bm25,keywords,1,21,0.5487485244898015,0.6190476190476191,0.017574773639454404,0.047619047619047616
scifact_bm25,keywords,2,36,0.5997843892653633,0.7222222222222222,0.006254857541104104,0.027777777777777776
scifact_bm25,keywords,3,79,0.6240975327444064,0.7679324894514767,0.02054231539022551,0.08860759493670886
scifact_bm25,semantic,-1,150,0.5852392355606109,0.7111111111111111,-0.020900641224249526,0.17333333333333334
scifact_bm25,semantic,0,14,0.6036389215180807,0.75,-0.16196160968321666,0.0
scifact_bm25,semantic,1,21,0.5739771178048195,0.6666666666666666,0.042803366954472406,0.19047619047619047
scifact_bm25,semantic,2,36,0.6047665734395081,0.7361111111111112,0.011237041715248907,0.3055555555555556
scifact_bm25,semantic,3,79,0.576073725507785,0.7046413502109704,-0.027481491846395915,0.13924050632911392
scifact_bm25,hyde,-1,150,0.5402823139258256,0.7144444444444444,-0.06585756285903481,0.2
scifact_bm25,hyde,0,14,0.3615433079746322,0.42857142857142855,-0.4040572232266653,0.07142857142857142
scifact_bm25,hyde,1,21,0.4791241100783263,0.5714285714285714,-0.05204964077202081,0.2857142857142857
scifact_bm25,hyde,2,36,0.6129190509771978,0.8472222222222222,0.01938951925293858,0.25
scifact_bm25,hyde,3,79,0.55511453962538,0.7426160337552742,-0.04844067772880076,0.17721518987341772
scifact_bm25,decomposed,-1,150,0.5892461581891302,0.7344444444444445,-0.01689371859573039,0.19333333333333333
scifact_bm25,decomposed,0,14,0.5563617733084205,0.7142857142857143,-0.20923875789287688,0.0
scifact_bm25,decomposed,1,21,0.5678821814340823,0.7619047619047619,0.03670843058373526,0.2857142857142857
scifact_bm25,decomposed,2,36,0.6112919942861489,0.7361111111111112,0.017762462561889663,0.2777777777777778
scifact_bm25,decomposed,3,79,0.5907065987042347,0.729957805907173,-0.012848618649946202,0.16455696202531644
scifact_dense,original,-1,150,0.6435738713255216,0.7833333333333333,0.0,0.0
scifact_dense,original,0,14,0.4019074592772445,0.6071428571428571,0.0,0.0
scifact_dense,original,1,21,0.6678944525146684,0.8571428571428571,0.0,0.0
scifact_dense,original,2,36,0.6586199618339531,0.8333333333333334,0.0,0.0
scifact_dense,original,3,79,0.6730794194951452,0.7721518987341772,0.0,0.0
scifact_dense,keywords,-1,150,0.6474190955386393,0.7833333333333333,0.003845224213117615,0.12
scifact_dense,keywords,0,14,0.4691737931089746,0.5357142857142857,0.0672663338317301,0.2857142857142857
scifact_dense,keywords,1,21,0.6720464476801071,0.8571428571428571,0.004151995165438642,0.14285714285714285
scifact_dense,keywords,2,36,0.6424763632435981,0.8055555555555556,-0.016143598590354864,0.1388888888888889
scifact_dense,keywords,3,79,0.6747127436609932,0.7974683544303798,0.0016333241658479036,0.0759493670886076
scifact_dense,semantic,-1,150,0.6558562444295465,0.7933333333333333,0.012282373104024927,0.16
scifact_dense,semantic,0,14,0.5507473394949841,0.6785714285714286,0.1488398802177396,0.21428571428571427
scifact_dense,semantic,1,21,0.6253915913211368,0.8571428571428571,-0.042502861193531735,0.23809523809523808
scifact_dense,semantic,2,36,0.6782080923057181,0.8333333333333334,0.01958813047176509,0.19444444444444445
