environment,corpus_name,backend,n_queries,original,source_fixed,source_router,target_fixed_oracle,query_oracle,oracle_gap_vs_router,oracle_gap_vs_target_fixed,source_fixed_action,target_fixed_oracle_action,original_recall_at_10,source_fixed_recall_at_10,source_router_recall_at_10,ndcg_target_fixed_oracle_recall_at_10,ndcg_query_oracle_recall_at_10,original_mean_task_search_calls,original_mean_task_sample_calls,original_mean_task_llm_calls,original_mean_task_input_tokens,original_mean_task_output_tokens,source_fixed_mean_task_search_calls,source_fixed_mean_task_sample_calls,source_fixed_mean_task_llm_calls,source_fixed_mean_task_input_tokens,source_fixed_mean_task_output_tokens,source_router_mean_task_search_calls,source_router_mean_task_sample_calls,source_router_mean_task_llm_calls,source_router_mean_task_input_tokens,source_router_mean_task_output_tokens
fiqa_bm25,fiqa,bm25,150,0.25251415790289977,0.25251415790289977,0.25251415790289977,0.2525141579028999,0.36917426192365166,0.11666010402075189,0.11666010402075178,original,original,0.3233333333333333,0.3233333333333333,0.3233333333333333,0.3233333333333333,0.43877777777777777,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
fiqa_dense,fiqa,dense,150,0.3921141942640467,0.3325277311740831,0.3325277311740831,0.3921141942640468,0.53026104076484,0.19773330959075697,0.13814684650079323,hyde,original,0.48439682539682544,0.42606349206349203,0.42606349206349203,0.48439682539682544,0.5955079365079365,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,393.93333333333334,124.31333333333333,1.0,0.0,1.0,393.93333333333334,124.31333333333333
nfcorpus_bm25,nfcorpus,bm25,65,0.24510579949889155,0.24510579949889155,0.24510579949889155,0.2484703451357258,0.2989869760868586,0.05388117658796704,0.05051663095113279,original,keywords,0.25775147928994085,0.25775147928994085,0.25775147928994085,0.25775147928994085,0.2860167183244106,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
nfcorpus_dense,nfcorpus,dense,65,0.2347861132448854,0.2347861132448854,0.2347861132448854,0.23478611324488538,0.2967821611485425,0.06199604790365709,0.06199604790365712,original,original,0.25276979430825586,0.25276979430825586,0.25276979430825586,0.25276979430825586,0.3011458626843242,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
scifact_bm25,scifact,bm25,150,0.6061398767848605,0.6061398767848605,0.6061398767848605,0.6209204636764344,0.7705356156267112,0.16439573884185077,0.14961515195027686,original,keywords,0.7344444444444445,0.7344444444444445,0.7344444444444445,0.7411111111111112,0.8811111111111113,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
scifact_dense,scifact,dense,150,0.6435738713255216,0.6435738713255216,0.6435738713255216,0.6794626814674809,0.7891990650232485,0.14562519369772697,0.10973638355576765,original,hyde,0.7833333333333333,0.7833333333333333,0.7833333333333333,0.8644444444444446,0.8733333333333333,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
