environment,seed,budget,method,future_tasks,ndcg,recall_at_10,measured_onboarding_generation_seconds,amortized_setup_generation_seconds_per_future_task,total_search_calls,total_sample_calls,total_llm_calls,total_input_tokens,total_output_tokens
fiqa_bm25,11,32,random,200,0.25251415790289977,0.3233333333333333,74.45561634347541,0.3722780817173771,273.0,16.0,48.0,20434.0,5505.0
fiqa_bm25,11,0,fixed,1,0.25251415790289977,0.3233333333333333,0.0,0.0,1.0,0.0,0.0,0.0,0.0
fiqa_bm25,11,0,fixed,10,0.25251415790289977,0.3233333333333333,0.0,0.0,10.0,0.0,0.0,0.0,0.0
fiqa_bm25,11,0,fixed,50,0.25251415790289977,0.3233333333333333,0.0,0.0,50.0,0.0,0.0,0.0,0.0
fiqa_bm25,11,0,fixed,200,0.25251415790289977,0.3233333333333333,0.0,0.0,200.0,0.0,0.0,0.0,0.0
fiqa_bm25,11,4,fixed,1,0.25251415790289977,0.3233333333333333,74.45561634347541,74.45561634347541,10.0,16.0,48.0,20434.0,5505.0
fiqa_bm25,11,4,fixed,10,0.25251415790289977,0.3233333333333333,74.45561634347541,7.445561634347541,19.0,16.0,48.0,20434.0,5505.0
fiqa_bm25,11,4,fixed,50,0.25251415790289977,0.3233333333333333,74.45561634347541,1.4891123268695083,59.0,16.0,48.0,20434.0,5505.0
fiqa_bm25,11,4,fixed,200,0.25251415790289977,0.3233333333333333,74.45561634347541,0.3722780817173771,209.0,16.0,48.0,20434.0,5505.0
fiqa_bm25,11,8,fixed,1,0.25251415790289977,0.3233333333333333,74.45561634347541,74.45561634347541,19.0,16.0,48.0,20434.0,5505.0
fiqa_bm25,11,8,fixed,10,0.25251415790289977,0.3233333333333333,74.45561634347541,7.445561634347541,28.0,16.0,48.0,20434.0,5505.0
fiqa_bm25,11,8,fixed,50,0.25251415790289977,0.3233333333333333,74.45561634347541,1.4891123268695083,68.0,16.0,48.0,20434.0,5505.0
fiqa_bm25,11,8,fixed,200,0.25251415790289977,0.3233333333333333,74.45561634347541,0.3722780817173771,218.0,16.0,48.0,20434.0,5505.0
fiqa_bm25,11,16,fixed,1,0.25251415790289977,0.3233333333333333,74.45561634347541,74.45561634347541,37.0,16.0,48.0,20434.0,5505.0
fiqa_bm25,11,16,fixed,10,0.25251415790289977,0.3233333333333333,74.45561634347541,7.445561634347541,46.0,16.0,48.0,20434.0,5505.0
fiqa_bm25,11,16,fixed,50,0.25251415790289977,0.3233333333333333,74.45561634347541,1.4891123268695083,86.0,16.0,48.0,20434.0,5505.0
fiqa_bm25,11,16,fixed,200,0.25251415790289977,0.3233333333333333,74.45561634347541,0.3722780817173771,236.0,16.0,48.0,20434.0,5505.0
fiqa_bm25,11,32,fixed,1,0.25251415790289977,0.3233333333333333,74.45561634347541,74.45561634347541,73.0,16.0,48.0,20434.0,5505.0
fiqa_bm25,11,32,fixed,10,0.25251415790289977,0.3233333333333333,74.45561634347541,7.445561634347541,82.0,16.0,48.0,20434.0,5505.0
fiqa_bm25,11,32,fixed,50,0.25251415790289977,0.3233333333333333,74.45561634347541,1.4891123268695083,122.0,16.0,48.0,20434.0,5505.0
fiqa_bm25,11,32,fixed,200,0.25251415790289977,0.3233333333333333,74.45561634347541,0.3722780817173771,272.0,16.0,48.0,20434.0,5505.0
fiqa_bm25,11,0,information_gain,1,0.25251415790289977,0.3233333333333333,0.0,0.0,1.0,0.0,0.0,0.0,0.0
fiqa_bm25,11,0,information_gain,10,0.25251415790289977,0.3233333333333333,0.0,0.0,10.0,0.0,0.0,0.0,0.0
fiqa_bm25,11,0,information_gain,50,0.25251415790289977,0.3233333333333333,0.0,0.0,50.0,0.0,0.0,0.0,0.0
fiqa_bm25,11,0,information_gain,200,0.25251415790289977,0.3233333333333333,0.0,0.0,200.0,0.0,0.0,0.0,0.0
fiqa_bm25,11,4,information_gain,1,0.25251415790289977,0.3233333333333333,74.45561634347541,74.45561634347541,9.0,16.0,48.0,20434.0,5505.0
fiqa_bm25,11,4,information_gain,10,0.25251415790289977,0.3233333333333333,74.45561634347541,7.445561634347541,18.0,16.0,48.0,20434.0,5505.0
fiqa_bm25,11,4,information_gain,50,0.25251415790289977,0.3233333333333333,74.45561634347541,1.4891123268695083,58.0,16.0,48.0,20434.0,5505.0
fiqa_bm25,11,4,information_gain,200,0.25251415790289977,0.3233333333333333,74.45561634347541,0.3722780817173771,208.0,16.0,48.0,20434.0,5505.0
fiqa_bm25,11,8,information_gain,1,0.25251415790289977,0.3233333333333333,74.45561634347541,74.45561634347541,17.0,16.0,48.0,20434.0,5505.0
fiqa_bm25,11,8,information_gain,10,0.25251415790289977,0.3233333333333333,74.45561634347541,7.445561634347541,26.0,16.0,48.0,20434.0,5505.0
fiqa_bm25,11,8,information_gain,50,0.25251415790289977,0.3233333333333333,74.45561634347541,1.4891123268695083,66.0,16.0,48.0,20434.0,5505.0
fiqa_bm25,11,8,information_gain,200,0.25251415790289977,0.3233333333333333,74.45561634347541,0.3722780817173771,216.0,16.0,48.0,20434.0,5505.0
fiqa_bm25,11,16,information_gain,1,0.25251415790289977,0.3233333333333333,74.45561634347541,74.45561634347541,33.0,16.0,48.0,20434.0,5505.0
fiqa_bm25,11,16,information_gain,10,0.25251415790289977,0.3233333333333333,74.45561634347541,7.445561634347541,42.0,16.0,48.0,20434.0,5505.0
fiqa_bm25,11,16,information_gain,50,0.25251415790289977,0.3233333333333333,74.45561634347541,1.4891123268695083,82.0,16.0,48.0,20434.0,5505.0
fiqa_bm25,11,16,information_gain,200,0.25251415790289977,0.3233333333333333,74.45561634347541,0.3722780817173771,232.0,16.0,48.0,20434.0,5505.0
fiqa_bm25,11,32,information_gain,1,0.25251415790289977,0.3233333333333333,74.45561634347541,74.45561634347541,65.0,16.0,48.0,20434.0,5505.0
fiqa_bm25,11,32,information_gain,10,0.25251415790289977,0.3233333333333333,74.45561634347541,7.445561634347541,74.0,16.0,48.0,20434.0,5505.0
fiqa_bm25,11,32,information_gain,50,0.25251415790289977,0.3233333333333333,74.45561634347541,1.4891123268695083,114.0,16.0,48.0,20434.0,5505.0
fiqa_bm25,11,32,information_gain,200,0.25251415790289977,0.3233333333333333,74.45561634347541,0.3722780817173771,264.0,16.0,48.0,20434.0,5505.0
